low_curve;up_curve
3178.34938110474;3492.89680877905
3192.57109915678;3490.46685719557
3182.25290477245;3497.54029442523
3186.1452685835;3482.1503036087
3208.62517406144;3488.10891185455
3223.25406974341;3478.20613209106
3224.26741316447;3492.34034742337
3239.95804728624;3498.6826630308
3232.78176032905;3503.88244402266
3237.01232616742;3487.884740805
3232.47649864539;3479.71086221984
3234.20126347288;3468.20671526672
3238.64180494711;3481.75689629455
3244.27219204999;3485.49868941037
3254.46388372486;3479.52289851541
3252.09288982588;3482.35894142032
3244.91642949108;3495.0921174859
3254.75333002235;3489.19932895924
3264.50263221972;3487.38680208075
3268.65888445977;3491.23475304919
3270.05005440267;3470.30909143407
3270.48022673538;3468.94210627763
3274.28788028346;3450.42696540124
3278.26051134327;3428.39374625812
3293.73114768778;3423.43505531624
3292.30476342167;3432.60251979178
3297.9630981695;3424.97480600579
3299.21151130254;3412.47831572719
3302.6124948898;3412.4256155542
3308.64819795946;3404.44531873242
3318.12922734154;3400.58929093815
3321.65575844993;3387.11224921837
3334.35628345579;3378.56398055763
3358.02119963474;3358.02119963475
