feature_to_predict;weight;Mature Volume;Diameter;V1_Supplier.A;V1_Supplier.B;V1_Supplier.C;V3_Shape.1;V3_Shape.2;V3_Shape.3;V3_Shape.4;V4_Type.1;V4_Type.2;V5_Hot.Printing;V5_Lacquering;V6_ABS;V6_PP;V6_PS
20.44776475;2.53499;1900;1.92917;0;1;0;0;1;0;0;0;1;0;1;0;0;1
8.994383988;0.824;330000;0.644;0;1;0;1;0;0;0;1;0;0;1;0;1;0
29.59941418;3.48;13000;2.8;0;1;0;0;1;0;0;0;1;0;1;0;0;1
11.16439646;0.991;413000;0.742;0;1;0;1;0;0;0;1;0;1;0;0;1;0
11.24312256;1.057;374000;0.752;0;1;0;0;1;0;0;1;0;1;0;0;1;0
21.92085407;1.96;48000;1.618;0;1;0;0;0;0;1;1;0;1;0;0;1;0
19.99063397;1.469;300000;1.22;0;1;0;0;0;0;1;1;0;1;0;0;1;0
14.54416375;1.48594;8730;1.16819;0;1;0;1;0;0;0;1;0;0;1;0;1;0
14.74043978;1.64;45000;1.19;0;1;0;1;0;0;0;1;0;1;0;0;1;0
15.1468899;1.64;239500;1.19;0;1;0;1;0;0;0;1;0;0;1;0;1;0
15.6128334;1.614;100000;0.994;0;1;0;0;0;1;0;1;0;1;0;0;1;0
15.6128334;1.614;115000;0.994;0;1;0;0;0;1;0;1;0;1;0;0;1;0
10.92233972;0.95;35000;0.715;0;1;0;1;0;0;0;1;0;0;1;0;1;0
29.16013684;1.469;270000;1.22;0;1;0;0;0;0;1;1;0;1;0;0;1;0
9.434988024;0.95;30000;0.715;0;1;0;1;0;0;0;1;0;0;1;0;1;0
22.59238389;1.531;5000;0.742651862;0;1;0;0;0;1;0;1;0;0;1;0;1;0
19.85724258;1.6;24000;1.22;0;1;0;1;0;0;0;1;0;0;1;0;1;0
20.16884854;1.6;24000;1.22;0;1;0;1;0;0;0;1;0;1;0;0;1;0
10.10201292;1.39;15000;0.941;0;1;0;1;0;0;0;1;0;0;1;1;0;0
7.622787655;0.89;15000;0.626;0;1;0;1;0;0;0;1;0;0;1;1;0;0
13.56646468;0.926666;92000;0.705309;0;1;0;1;0;0;0;1;0;0;1;0;1;0
16.16752417;1.33;3500;0.987;0;1;0;1;0;0;0;1;0;0;1;0;1;0
16.38121444;1.64;160000;1.19;0;1;0;1;0;0;0;1;0;1;0;0;1;0
18.77761418;1.64555;30000;1.27329;0;1;0;1;0;0;0;1;0;0;1;0;1;0
13.07573408;1.06;200000;0.79;0;1;0;1;0;0;0;1;0;0;1;0;1;0
29.41627741;5.4;12000;4.38;0;1;0;0;1;0;0;0;1;0;1;0;0;1
30.52111532;5.4;12000;4.38;0;1;0;0;1;0;0;0;1;0;1;0;0;1
14.08399875;1.214;5000;0.939;0;1;0;1;0;0;0;1;0;0;1;1;0;0
15.71171702;1.345;57000;1.045;0;1;0;1;0;0;0;1;0;0;1;0;1;0
14.32420151;0.88;33000;0.67;0;1;0;1;0;0;0;1;0;0;1;0;1;0
14.3737686;0.88;24000;0.67;0;1;0;1;0;0;0;1;0;0;1;0;1;0
14.41410367;1.329;15000;1.14;0;1;0;1;0;0;0;1;0;0;1;0;1;0
11.76675053;0.61;57000;0.45;0;1;0;1;0;0;0;1;0;0;1;0;1;0
9.911807182;1.06;200000;0.79;0;1;0;1;0;0;0;1;0;0;1;0;1;0
17.18495679;1.528;92000;1.066;0;1;0;1;0;0;0;1;0;0;1;0;1;0
18.10395624;1.573;100000;1.304;0;1;0;0;1;0;0;1;0;1;0;0;1;0
18.85181055;1.573;30000;1.304;0;1;0;1;0;0;0;1;0;1;0;0;1;0
21.61537461;1.573;30000;1.304;0;1;0;1;0;0;0;1;0;1;0;0;1;0
21.40042654;1.573;39000;1.304;0;1;0;1;0;0;0;1;0;1;0;0;1;0
21.83032268;1.573;21000;1.304;0;1;0;1;0;0;0;1;0;1;0;0;1;0
12.53811289;1.322;218000;0.931;0;1;0;1;0;0;0;1;0;0;1;0;1;0
12.06077082;0.824;230000;0.644;0;1;0;1;0;0;0;1;0;0;1;0;1;0
9.125606515;1.322;204592;0.931;0;1;0;1;0;0;0;1;0;0;1;0;0;1
9.171027177;0.696;250000;0.527;0;1;0;1;0;0;0;1;0;0;1;0;1;0
10.84753706;0.696;250000;0.527;0;1;0;1;0;0;0;1;0;0;1;0;1;0
11.54032703;0.696;287500;0.527;0;1;0;1;0;0;0;1;0;0;1;0;1;0
10.7381195;0.696;250000;0.527;0;1;0;1;0;0;0;1;0;0;1;0;1;0
15.63020748;1.538;60000;1.012;0;1;0;1;0;0;0;1;0;0;1;0;1;0
19.12601317;1.538;40000;1.012;0;1;0;1;0;0;0;1;0;0;1;0;1;0
15.68613299;1.538;69000;1.012;0;1;0;1;0;0;0;1;0;0;1;0;1;0
17.1961584;1.531;187000;0.76159373;0;1;0;0;0;1;0;1;0;0;1;0;1;0
9.957867134;0.79;100000;0.59;0;1;0;1;0;0;0;1;0;1;0;0;1;0
12.37663738;1.101;75000;0.86;0;1;0;1;0;0;0;1;0;1;0;0;1;0
20.87292547;1.117;8000;0.9;0;1;0;1;0;0;0;1;0;1;0;1;0;0
21.30917382;1.117;8000;0.9;0;1;0;1;0;0;0;1;0;1;0;1;0;0
37.15911348;5.2;8000;5.118;0;1;0;0;1;0;0;0;1;0;1;0;0;1
27.28786588;4.36;2400;3.51;0;1;0;1;0;0;0;0;1;1;0;0;0;1
30.99145193;5.85;15000;4.81;0;1;0;1;0;0;0;1;0;0;1;1;0;0
34.50975793;6.591;26000;5.35;0;1;0;0;1;0;0;0;1;0;1;0;0;1
33.25530021;5.401;11000;4.382;0;1;0;0;1;0;0;0;1;0;1;0;0;1
20.100684;2.51;1000;1.905;0;1;0;0;1;0;0;1;0;0;1;1;0;0
12.49450327;1.09;24900;1.09;0;1;0;1;0;0;0;1;0;0;1;0;1;0
10.64077696;0.747;23500;0.58;0;1;0;1;0;0;0;1;0;0;1;1;0;0
12.57768299;0.747;10000;0.58;0;1;0;1;0;0;0;1;0;0;1;1;0;0
11.7037154;0.747;13500;0.58;0;1;0;1;0;0;0;1;0;0;1;1;0;0
6.477450684;0.8;52000;0.641;0;1;0;1;0;0;0;1;0;0;1;0;1;0
26.45376076;3.59;10000;2.91;0;1;0;0;1;0;0;0;1;0;1;0;0;1
6.920584622;1.165;10000;0.729;0;1;0;1;0;0;0;1;0;0;1;1;0;0
11.12752056;1.665;50000;1.254;0;1;0;1;0;0;0;1;0;0;1;0;1;0
13.87677081;1.124;25000;1.013;0;1;0;1;0;0;0;1;0;0;1;0;1;0
9.014860461;0.926666;92000;0.705309;0;1;0;1;0;0;0;1;0;0;1;0;1;0
11.78197809;0.926666;92000;0.705309;0;1;0;1;0;0;0;1;0;0;1;0;1;0
11.77442501;0.926666;92000;0.705309;0;1;0;1;0;0;0;1;0;0;1;0;1;0
15.79807268;1.9;28000;1.436;0;1;0;1;0;0;0;1;0;1;0;0;0;1
14.09498567;1.823;28000;1.538;0;1;0;0;1;0;0;1;0;1;0;0;0;1
12.76266791;1.768;8730;1.351;0;1;0;1;0;0;0;1;0;0;1;0;0;1
13.27428989;1.52;8730;1.371;0;1;0;1;0;0;0;1;0;0;1;0;0;1
13.37524593;1.496;110000;1.256;0;0;1;0;1;0;0;1;0;0;1;0;1;0
11.32962009;1.14;110000;0.908;0;0;1;0;1;0;0;1;0;0;1;0;1;0
13.53178466;1.496;110000;1.256;0;0;1;0;1;0;0;1;0;0;1;0;1;0
11.6909175;1.14;110000;0.908;0;0;1;0;1;0;0;1;0;0;1;0;1;0
14.12968236;1.75;150000;1.476;0;0;1;0;1;0;0;1;0;1;0;0;1;0
14.16115352;1.75;150000;1.476;0;0;1;0;1;0;0;1;0;1;0;0;1;0
13.2665031;1.435;12000;1.197;0;0;1;1;0;0;0;1;0;0;1;0;1;0
15.86359242;1.435;12000;1.197;0;0;1;1;0;0;0;1;0;0;1;0;1;0
19.29365659;1.435;12000;1.197;0;0;1;1;0;0;0;1;0;0;1;0;1;0
14.43159395;1.435;12000;1.197;0;0;1;1;0;0;0;1;0;0;1;0;1;0
15.46493142;1.321;40000;1.029;0;0;1;1;0;0;0;1;0;0;1;0;1;0
16.13060954;1.321;40000;1.029;0;0;1;1;0;0;0;1;0;0;1;0;1;0
17.7864684;1.321;40000;1.029;0;0;1;1;0;0;0;1;0;0;1;0;1;0
17.98589622;1.321;40000;1.029;0;0;1;1;0;0;0;1;0;0;1;0;1;0
